Entrance_Latitude,Entrance_Longitude,entrance_georeference
40.7664984,-73.9832643,POINT (-73.9832643 40.7664984)
40.7669768,-73.9829544,POINT (-73.9829544 40.7669768)
40.7664893,-73.9826848,POINT (-73.9826848 40.7664893)
40.7667421,-73.9825714,POINT (-73.9825714 40.7667421)
40.7677166,-73.9827407,POINT (-73.9827407 40.7677166)
40.7677979,-73.9825917,POINT (-73.9825917 40.7677979)
40.7676894,-73.982496,POINT (-73.982496 40.7676894)
40.7673965,-73.9821741,POINT (-73.9821741 40.7673965)
40.7687301,-73.9817917,POINT (-73.9817917 40.7687301)
40.7686784,-73.9811728,POINT (-73.9811728 40.7686784)
40.768695,-73.98159,POINT (-73.98159 40.768695)
40.7617615,-73.9869788,POINT (-73.9869788 40.7617615)
40.7618796,-73.9868361,POINT (-73.9868361 40.7618796)
40.7616972,-73.986825,POINT (-73.986825 40.7616972)
40.762367,-73.9864705,POINT (-73.9864705 40.762367)
40.7624623,-73.9862793,POINT (-73.9862793 40.7624623)
40.7621301,-73.9859331,POINT (-73.9859331 40.7621301)
40.762258,-73.9858519,POINT (-73.9858519 40.762258)
40.7629145,-73.9854329,POINT (-73.9854329 40.7629145)
40.7616592,-73.9843289,POINT (-73.9843289 40.7616592)
40.7559971,-73.9910421,POINT (-73.9910421 40.7559971)
40.7561151,-73.9909193,POINT (-73.9909193 40.7561151)
40.7558064,-73.9905611,POINT (-73.9905611 40.7558064)
40.757474,-73.9900143,POINT (-73.9900143 40.757474)
40.7579453,-73.9895696,POINT (-73.9895696 40.7579453)
40.7574339,-73.9894533,POINT (-73.9894533 40.7574339)
40.7585808,-73.9891597,POINT (-73.9891597 40.7585808)
40.758386,-73.9886758,POINT (-73.9886758 40.758386)
40.7586951,-73.9890158,POINT (-73.9890158 40.7586951)
40.7563491,-73.9906315,POINT (-73.9906315 40.7563491)
40.7569444,-73.9901997,POINT (-73.9901997 40.7569444)
40.7517496,-73.9942753,POINT (-73.9942753 40.7517496)
40.7515212,-73.9942373,POINT (-73.9942373 40.7515212)
40.751281,-73.9939183,POINT (-73.9939183 40.751281)
40.7522195,-73.9938635,POINT (-73.9938635 40.7522195)
40.7524423,-73.9936995,POINT (-73.9936995 40.7524423)
40.7514264,-73.9935073,POINT (-73.9935073 40.7514264)
40.7529333,-73.9933463,POINT (-73.9933463 40.7529333)
40.7520165,-73.9933356,POINT (-73.9933356 40.7520165)
40.7530677,-73.9932666,POINT (-73.9932666 40.7530677)
40.7519575,-73.9932163,POINT (-73.9932163 40.7519575)
40.7530103,-73.9931291,POINT (-73.9931291 40.7530103)
40.7521806,-73.9930803,POINT (-73.9930803 40.7521806)
40.7527203,-73.992839,POINT (-73.992839 40.7527203)
40.7528575,-73.9927606,POINT (-73.9927606 40.7528575)
40.7528022,-73.9926229,POINT (-73.9926229 40.7528022)
40.7515869,-73.9938673,POINT (-73.9938673 40.7515869)
40.7513819,-73.993664,POINT (-73.993664 40.7513819)
40.7452647,-73.9987538,POINT (-73.9987538 40.7452647)
40.7455254,-73.9986724,POINT (-73.9986724 40.7455254)
40.7451194,-73.9984005,POINT (-73.9984005 40.7451194)
40.7461243,-73.9981866,POINT (-73.9981866 40.7461243)
40.7452896,-73.9981389,POINT (-73.9981389 40.7452896)
40.7458188,-73.9978378,POINT (-73.9978378 40.7458188)
40.7465992,-73.9977858,POINT (-73.9977858 40.7465992)
40.7467263,-73.9976859,POINT (-73.9976859 40.7467263)
40.7464485,-73.997426,POINT (-73.997426 40.7464485)
40.7465766,-73.9973307,POINT (-73.9973307 40.7465766)
40.7465177,-73.9971926,POINT (-73.9971926 40.7465177)
40.7399648,-74.0026775,POINT (-74.0026775 40.7399648)
40.7397744,-74.0022228,POINT (-74.0022228 40.7397744)
40.740613,-74.0022132,POINT (-74.0022132 40.740613)
40.7409998,-74.0018465,POINT (-74.0018465 40.7409998)
40.740423,-74.0017648,POINT (-74.0017648 40.740423)
40.7412488,-74.001743,POINT (-74.001743 40.7412488)
40.7409261,-74.0013738,POINT (-74.0013738 40.7409261)
40.7410587,-74.0012814,POINT (-74.0012814 40.7410587)
40.7399468,-74.0027236,POINT (-74.0027236 40.7399468)
40.7256308,-74.0043768,POINT (-74.0043768 40.7256308)
40.726208,-74.004033,POINT (-74.004033 40.726208)
40.7255428,-74.0037502,POINT (-74.0037502 40.7255428)
40.7216563,-74.0056651,POINT (-74.0056651 40.7216563)
40.720758,-74.005399,POINT (-74.005399 40.720758)
40.7219301,-74.0050459,POINT (-74.0050459 40.7219301)
40.7198613,-74.0050282,POINT (-74.0050282 40.7198613)
40.7206887,-74.0050041,POINT (-74.0050041 40.7206887)
40.7200419,-74.0049774,POINT (-74.0049774 40.7200419)
40.7137352,-74.0090664,POINT (-74.0090664 40.7137352)
40.7139627,-74.0089871,POINT (-74.0089871 40.7139627)
40.7143032,-74.0086227,POINT (-74.0086227 40.7143032)
40.7145589,-74.0084198,POINT (-74.0084198 40.7145589)
40.7141841,-74.0083703,POINT (-74.0083703 40.7141841)
40.7148711,-74.0081736,POINT (-74.0081736 40.7148711)
40.7151176,-74.0079793,POINT (-74.0079793 40.7151176)
40.714777,-74.0078979,POINT (-74.0078979 40.714777)
40.7150278,-74.0077012,POINT (-74.0077012 40.7150278)
40.712274,-74.0103503,POINT (-74.0103503 40.712274)
40.7116944,-74.01022,POINT (-74.01022 40.7116944)
40.7118238,-74.0101552,POINT (-74.0101552 40.7118238)
40.7126643,-74.0099108,POINT (-74.0099108 40.7126643)
40.7133097,-74.0095541,POINT (-74.0095541 40.7133097)
40.7134261,-74.0093068,POINT (-74.0093068 40.7134261)
40.7130591,-74.0090286,POINT (-74.0090286 40.7130591)
40.7133621,-74.0090139,POINT (-74.0090139 40.7133621)
40.7130961,-74.0091147,POINT (-74.0091147 40.7130961)
40.7116329,-74.0106471,POINT (-74.0106471 40.7116329)
40.7119688,-74.0105123,POINT (-74.0105123 40.7119688)
40.699405,-73.991413,POINT (-73.991413 40.699405)
40.6991398,-73.9889055,POINT (-73.9889055 40.6991398)
40.6992387,-73.9882731,POINT (-73.9882731 40.6992387)
40.6924743,-73.9875859,POINT (-73.9875859 40.6924743)
40.6932155,-73.9874899,POINT (-73.9874899 40.6932155)
40.6925106,-73.9874814,POINT (-73.9874814 40.6925106)
40.6917,-73.987461,POINT (-73.987461 40.6917)
40.6923538,-73.9874579,POINT (-73.9874579 40.6923538)
40.6931779,-73.9874487,POINT (-73.9874487 40.6931779)
40.6916147,-73.9872021,POINT (-73.9872021 40.6916147)
40.692329,-73.987167,POINT (-73.987167 40.692329)
40.6924622,-73.9871584,POINT (-73.9871584 40.6924622)
40.693582,-73.9870075,POINT (-73.9870075 40.693582)
40.6890314,-73.9858587,POINT (-73.9858587 40.6890314)
40.6884333,-73.9843016,POINT (-73.9843016 40.6884333)
40.686553,-73.974606,POINT (-73.974606 40.686553)
40.6861265,-73.9745162,POINT (-73.9745162 40.6861265)
40.6864157,-73.9743492,POINT (-73.9743492 40.6864157)
40.6860502,-73.9742815,POINT (-73.9742815 40.6860502)
40.6860654,-73.9732954,POINT (-73.9732954 40.6860654)
40.6855651,-73.973071,POINT (-73.973071 40.6855651)
40.685969,-73.973021,POINT (-73.973021 40.685969)
40.685559,-73.9729,POINT (-73.9729 40.685559)
40.685789,-73.97276,POINT (-73.97276 40.685789)
40.6836751,-73.9670602,POINT (-73.9670602 40.6836751)
40.6835856,-73.9667826,POINT (-73.9667826 40.6835856)
40.683318,-73.966733,POINT (-73.966733 40.683318)
40.683172,-73.964689,POINT (-73.964689 40.683172)
40.6828735,-73.9646179,POINT (-73.9646179 40.6828735)
40.6833851,-73.9670073,POINT (-73.9670073 40.6833851)
40.681256,-73.95559,POINT (-73.95559 40.681256)
40.6805772,-73.9497346,POINT (-73.9497346 40.6805772)
40.680267,-73.9496419,POINT (-73.9496419 40.680267)
40.6805398,-73.9495027,POINT (-73.9495027 40.6805398)
40.680228,-73.949414,POINT (-73.949414 40.680228)
40.6804282,-73.9531971,POINT (-73.9531971 40.6804282)
40.6808273,-73.9532759,POINT (-73.9532759 40.6808273)
40.6796847,-73.94135,POINT (-73.94135 40.6796847)
40.679804,-73.941119,POINT (-73.941119 40.679804)
40.6800631,-73.940479,POINT (-73.940479 40.6800631)
40.6800207,-73.940243,POINT (-73.940243 40.6800207)
40.6795584,-73.932104,POINT (-73.932104 40.6795584)
40.679346,-73.931987,POINT (-73.931987 40.679346)
40.6791112,-73.9300434,POINT (-73.9300434 40.6791112)
40.6795043,-73.9297247,POINT (-73.9297247 40.6795043)
40.6794998,-73.9298659,POINT (-73.9298659 40.6794998)
40.679164,-73.92187,POINT (-73.92187 40.679164)
40.678702,-73.921552,POINT (-73.921552 40.678702)
40.6790048,-73.9214369,POINT (-73.9214369 40.6790048)
40.6786088,-73.9137396,POINT (-73.9137396 40.6786088)
40.678317,-73.913651,POINT (-73.913651 40.678317)
40.6784181,-73.910978,POINT (-73.910978 40.6784181)
40.6781806,-73.9108741,POINT (-73.9108741 40.6781806)
40.6785315,-73.9107794,POINT (-73.9107794 40.6785315)
40.6780485,-73.9106658,POINT (-73.9106658 40.6780485)
40.6783526,-73.9039332,POINT (-73.9039332 40.6783526)
